# list of attributes that may be useful
# format of this file: anything with a # symbol is ignored
# first line without # will be the name of this "attribute"
# anything else will be values to use
# if you have any useful contributions like this for PHPlist, send them to me, 
# and I can include them in next versions. That will save others in collecting 
# the information
Woonplaats:Cities of Belgium
1730 Bekkerzeel
3460 Bekkevoort
1009 Belgische Senaat
5001 Belgrade
4610 Bellaire
7170 Bellecourt
6730 Bellefontaine (Lux.)
5555 Bellefontaine (Nam.)
8510 Bellegem
9881 Bellem
6834 Bellevaux
4960 Bellevaux-Ligneuville
1674 Bellingen
7970 Beloeil
9111 Belsele (Sint-Niklaas)
4500 Ben-Ahin
6941 Bende
3540 Berbroek
2600 Berchem (Antwerpen)
9690 Berchem (O.-Vl.)
1082 Berchem-Sainte-Agathe
2040 Berendrecht
1910 Berg (Bt.)
3700 Berg (Limb.)
4360 Bergilers
3580 Beringen
2590 Berlaar
9290 Berlare
3830 Berlingen
4257 Berloz
4607 Berneau
7320 Bernissart
6560 Bersillies-l'Abbaye
3060 Bertem
6687 Bertogne
4280 Bertrée
6880 Bertrix
5651 Berzée
8980 Beselare
3130 Betekom
4300 Bettincourt
5030 Beuzet
2560 Bevel
1547 Bever
4960 Bevercé
9700 Bevere
8791 Beveren (Leie)
8800 Beveren (Roeselare)
8691 Beveren-aan-den-Ijzer
9120 Beveren-Waas
3581 Beverlo
3740 Beverst
4610 Beyne-Heusay
6543 Bienne-lez-Happart
3360 Bierbeek
6533 Biercée
1301 Bierges
1430 Bierghes
4460 Bierset
5380 Bierwart
5640 Biesme
5640 Biesmerée
6531 Biesme-sous-Thuin
1547 Bievene
5555 Bievre
1390 Biez
6690 Bihain
8920 Bikschote
4831 Bilstain
3740 Bilzen
7130 Binche
3850 Binderveld
3211 Binkom
5537 Bioul
8501 Bissegem
7783 Bizet
2830 Blaasveld
5542 Blaimont
7522 Blandain
3052 Blanden
8370 Blankenberge
7040 Blaregnies
7321 Blaton
7370 Blaugies
4670 Blégny
7620 Bléharies
4280 Blehen
6760 Bleid
4300 Bleret
7903 Blicquy
3950 Bocholt
2530 Boechout
3890 Boekhout
9961 Boekhoute
4250 Boëlhe
8904 Boezinge
1670 Bogaarden
5550 Bohan
5140 Boignée
4690 Boirs
7866 Bois-de-Lessines
5170 Bois-de-Villers
7170 Bois-d'Haine
4560 Bois-et-Borsu
5310 Bolinne
4653 Bolland
1367 Bomal (Bt.)
6941 Bomal-sur-Ourthe
4607 Bombaye
3840 Bommershoven (Haren)
4100 Boncelles
5310 Boneffe
2820 Bonheiden
5021 Boninne
1325 Bonlez
6700 Bonnert
5300 Bonneville
7603 Bon-Secours
5377 Bonsin
2221 Booischot
8630 Booitshoeke
2850 Boom
3631 Boorsem
3190 Boortmeerbeek
1761 Borchtlombeek
2140 Borgerhout (Antwerpen)
3840 Borgloon
4317 Borlez
3891 Borlo
6941 Borlon
2880 Bornem
1404 Bornival
2150 Borsbeek (Antw.)
9552 Borsbeke
5032 Bossière
8583 Bossuit
1390 Bossut-Gottechain
3300 Bost
5032 Bothey
9820 Bottelare
6200 Bouffioulx
5004 Bouge
7040 Bougnies
6830 Bouillon
6464 Bourlers
5575 Bourseigne-Neuve
5575 Bourseigne-Vieille
7110 Boussoit
7300 Boussu
5660 Boussu-en-Fagne
6440 Boussu-lez-Walcourt
1470 Bousval
3370 Boutersem
5500 Bouvignes-sur-Meuse
7803 Bouvignies
2288 Bouwel
8680 Bovekerke
3870 Bovelingen
4300 Bovenistier
5081 Bovesse
6671 Bovigny
4990 Bra
7604 Braffe
5590 Braibant
1420 Braine-l'Alleud
1440 Braine-le-Château
7090 Braine-le-Comte
4260 Braives
9660 Brakel
5310 Branchon
6800 Bras
7604 Brasmenil
2930 Brasschaat
7130 Bray
2960 Brecht
8450 Bredene
3960 Bree
2870 Breendonk
4020 Bressoux
8900 Brielen
2520 Broechem
3840 Broekom
1931 Brucargo
7940 Brugelette
8000 Brugge
5660 Brûly
5660 Brûly-de-Pesche
7620 Brunehaut
1785 Brussegem
1000 Brussel
1070 Brussel (Anderlecht)
1050 Brussel (Elsene)
1040 Brussel (Etterbeek)
1140 Brussel (Evere)
1083 Brussel (Ganshoren)
1130 Brussel (Haren)
1090 Brussel (Jette)
1081 Brussel (Koekelberg)
1020 Brussel (Laken)
1120 Brussel (Neder-Over-Heembeek)
1160 Brussel (Oudergem)
1030 Brussel (Schaarbeek)
1082 Brussel (Sint-Agatha-Berchem)
1060 Brussel (Sint-Gillis)
1080 Brussel (Sint-Jans-Molenbeek)
1210 Brussel (Sint-Joost-ten-Node)
1200 Brussel (Sint-Lambrechts-Woluwe)
1150 Brussel (Sint-Pieters-Woluwe)
1180 Brussel (Ukkel)
1190 Brussel (Vorst)
1170 Brussel (Watermaal-Bosvoorde)
1934 Brussel X-Luchthaven Remailing
1005 Brusselse Hoofdstedelijke Raad
3800 Brustem
1000 Bruxelles
1070 Bruxelles (Anderlecht)
1160 Bruxelles (Auderghem)
1082 Bruxelles (Berchem-Sainte-Agathe)
1040 Bruxelles (Etterbeek)
1140 Bruxelles (Evere)
1190 Bruxelles (Forest)
1083 Bruxelles (Ganshoren)
1130 Bruxelles (Haeren)
1050 Bruxelles (Ixelles)
1090 Bruxelles (Jette)
1081 Bruxelles (Koekelberg)
1020 Bruxelles (Laeken)
1080 Bruxelles (Molenbeek-Saint-Jean)
1120 Bruxelles (Neder-Over-Heembeek)
1060 Bruxelles (Saint-Gilles)
1210 Bruxelles (Saint-Josse-ten-Noode)
1030 Bruxelles (Schaerbeek)
1180 Bruxelles (Uccle)
1170 Bruxelles (Watermael-Boitsfort)
1200 Bruxelles (Woluwe-Saint-Lambert)
1150 Bruxelles (Woluwe-Saint-Pierre)
1934 Bruxelles X-Aeroport Remailing
7641 Bruyelle
6222 Brye
3440 Budingen
9255 Buggenhout
7911 Buissenal
5580 Buissonville
1501 Buizingen
1910 Buken
4760 Bullange
4760 Büllingen
8630 Bulskamp
3380 Bunsbeek
2070 Burcht
4210 Burdinne
6927 Bure
4790 Burg-Reuland
9420 Burst
7602 Bury
4750 Bütgenbach
4750 Butgenbach
3891 Buvingen
7133 Buvrinnes
6743 Buzenol
6230 Buzet
7604 Callenelle
7642 Calonne
7940 Cambron-Casteau
7870 Cambron-Saint-Vincent
1804 Cargovil
6850 Carlsbourg
7141 Carnières
7061 Casteau (Soignies)
5650 Castillon
7760 Celles (Ht.)
4317 Celles (Lg.)
5561 Celles (Nam.)
4632 Cérexhe-Heuseux
5630 Cerfontaine
1341 Céroux-Mousty
4650 Chaineux
5550 Chairière
1008 Chambre des Représentants
5020 Champion
6971 Champlon
6921 Chanly
6742 Chantemelle
7903 Chapelle-à-Oie
7903 Chapelle-à-Wattines
7160 Chapelle-lez-Herlaimont
4537 Chapon-Seraing
6000 Charleroi
4654 Charneux
6824 Chassepierre
1450 Chastre
5650 Chastrès
1450 Chastre-Villeroux-Blanmont
6200 Châtelet
6200 Châtelineau
6747 Châtillon
4050 Chaudfontaine
1325 Chaumont-Gistoux
7063 Chaussée-Notre-Dame-Louvignies
4032 Chênée
6673 Cherain
4602 Cheratte
7521 Chercq
5590 Chevetogne
4987 Chevron
7950 Chièvres
6460 Chimay
6810 Chiny
4400 Chokier
1031 Christelijke Sociale Organisaties
5560 Ciergnon
5590 Ciney
4260 Ciplet
7024 Ciply
1010 Cité Administrative de l'Etat
1480 Clabecq
4560 Clavier
4890 Clermont (Lg.)
5650 Clermont (Nam.)
4480 Clermont-sous-Huy
5022 Cognelée
7340 Colfontaine
4170 Comblain-au-Pont
4180 Comblain-Fairon
4180 Comblain-la-Tour
7780 Comines
7780 Comines-Warneton
5590 Conneux
1005 Conseil Region Bruxelles-Capitale
1435 Corbais
6838 Corbion
7910 Cordes
5620 Corenne
4860 Cornesse
5555 Cornimont
5032 Corroy-le-Château
1325 Corroy-le-Grand
4257 Corswarem
1450 Cortil-Noirmont
5380 Cortil-Wodon
6010 Couillet
6180 Courcelles
5336 Courrière
6120 Cour-sur-Heure
1490 Court-Saint-Etienne
4218 Couthuin
5300 Coutisse
1380 Couture-Saint-Germain
5660 Couvin
4280 Cras-Avernas
4280 Crehen
4367 Crisnée
7120 Croix-lez-Rouveroy
4784 Crombach
5332 Crupet
7033 Cuesmes
6880 Cugnon
5660 Cul-des-Sarts
5562 Custinne
1045 D.I.V.
8890 Dadizele
5660 Dailly
9160 Daknam
4607 Dalhem
8340 Damme
6767 Dampicourt
6020 Dampremy
4253 Darion
5630 Daussois
5020 Daussoulx
5100 Dave
6929 Daverdisse
8420 De Haan
9170 De Klinge
8630 De Moeren
8660 De Panne
9840 De Pinte
8540 Deerlijk
9570 Deftinge
9800 Deinze
9280 Denderbelle
9450 Denderhoutem
9470 Denderleeuw
9200 Dendermonde
9400 Denderwindeke
5537 Denée
8720 Dentergem
7912 Dergneau
2480 Dessel
8792 Desselgem
9070 Destelbergen
9042 Desteldonk
9831 Deurle
2100 Deurne (Antwerpen)
3290 Deurne (Bt.)
7864 Deux-Acren
5310 Dhuy
1831 Diegem
3590 Diepenbeek
3290 Diest
3700 Diets-Heur
8900 Dikkebus
9630 Dikkele
9890 Dikkelvenne
8600 Diksmuide
1700 Dilbeek
3650 Dilsen-Stokkem
5500 Dinant
5570 Dion
1325 Dion-Valmont
4820 Dison
6960 Dochamps
9130 Doel
6836 Dohan
5680 Doische
4140 Dolembreux
4357 Donceel
1370 Dongelberg
3540 Donk
6536 Donstiennes
5530 Dorinne
3440 Dormaal
7711 Dottenijs
7711 Dottignies
7370 Dour
5670 Dourbes
8951 Dranouter
5500 Dréhance
8600 Driekapellen
3350 Drieslinter
1620 Drogenbos
9031 Drongen
8380 Dudzele
2570 Duffel
3080 Duisburg
3803 Duras
6940 Durbuy
5530 Durnal
1653 Dworp
1049 E.U.-Commissie
1048 E.U.-Raad
4690 Eben-Emael
6860 Ebly
7190 Ecaussinnes
7190 Ecaussinnes-d'Enghien
7191 Ecaussinnes-Lalaing
2650 Edegem
9700 Edelare
7850 Edingen
9900 Eeklo
8480 Eernegem
8740 Egem
8630 Eggewaartskapelle
5310 Eghezée
4120 Ehein
3740 Eigenbilzen
2430 Eindhout
9700 Eine
3630 Eisden
9810 Eke
2180 Ekeren (Antwerpen)
9160 Eksaarde
3941 Eksel
3650 Elen
9620 Elene
1982 Elewijt
3400 Eliksem
1671 Elingen
4590 Ellemelle
7890 Ellezelles
7910 Ellignies-lez-Frasnes
7972 Ellignies-Sainte-Anne
3670 Ellikom
7370 Elouges
9790 Elsegem
4750 Elsenborn
1050 Elsene
9660 Elst
8906 Elverdinge
9140 Elversele
2520 Emblem
4053 Embourg
8870 Emelgem
5080 Emines
5363 Emptinne
9700 Ename
3800 Engelmanshoven
7850 Enghien
4480 Engis
1350 Enines
4800 Ensival
7134 Epinois
1980 Eppegem
5580 Eprave
7050 Erbaut
7050 Erbisoeul
7500 Ere
9320 Erembodegem (Aalst)
6997 Erezée
5644 Ermeton-sur-Biert
5030 Ernage
6972 Erneuville
4920 Ernonheid
9420 Erondegem
9420 Erpe
9420 Erpe-Mere
5101 Erpent
6441 Erpion
3071 Erps-Kwerps
6560 Erquelinnes
7387 Erquennes
9940 Ertvelde
9620 Erwetegem
7760 Escanaffles
8600 Esen
4130 Esneux
8587 Espierres
8587 Espierres-Helchin
7502 Esplechin
7743 Esquelmes
2910 Essen
1790 Essene
7730 Estaimbourg
7730 Estaimpuis
7120 Estinnes
7120 Estinnes-au-Mont
7120 Estinnes-au-Val
6740 Etalle
6760 Ethe
9680 Etikhove
8460 Ettelgem
1040 Etterbeek
7080 Eugies (Frameries)
4700 Eupen
1047 Europees Parlement
4631 Evegnée
5350 Evelette
9660 Everbeek
3078 Everberg
1140 Evere
9940 Evergem
7730 Evregnies
5530 Evrehailles
4731 Eynatten
3400 Ezemaal
4090 F.B.A. (Forces Belges en Allemagne)
5600 Fagnolle
4317 Faimes
5522 Falaën
5060 Falisolle
4260 Fallais
5500 Falmagne
5500 Falmignoul
7181 Familleureux
6240 Farciennes
5340 Faulx-les-Tombes
7120 Fauroeulx
6637 Fauvillers
4950 Faymonville
6856 Fays-les-Veneurs
7387 Fayt-le-Franc
7170 Fayt-lez-Manage
5570 Felenne
7181 Feluy
4607 Feneur
5380 Fernelmont
4190 Ferrières
5570 Feschaux
4347 Fexhe-le-Haut-Clocher
4458 Fexhe-Slins
4181 Filot
5560 Finnevaux
4530 Fize-Fontaine
4367 Fize-le-Marsal
6686 Flamierge
5620 Flavion
5020 Flawinne
4400 Flémalle
4400 Flémalle-Grande
4400 Flémalle-Haute
7012 Flénu
4620 Fléron
6220 Fleurus
7880 Flobecq
4540 Flône
5334 Florée
5150 Floreffe
5620 Florennes
6820 Florenville
5150 Floriffoux
5370 Flostoy
5572 Focant
1212 FOD Mobiliteit
1350 Folx-les-Caves
6140 Fontaine-l'Evêque
6567 Fontaine-Valmont
5650 Fontenelle
6820 Fontenoille
7643 Fontenoy
4340 Fooz
6141 Forchies-la-Marche
1190 Forest
7910 Forest (Ht.)
4870 Forêt
6596 Forge-Philippe
6464 Forges
6953 Forrières
5380 Forville
4980 Fosse (Lg.)
5070 Fosses-la-Ville
7830 Fouleng
6440 Fourbechies
3798 Fouron-le-Comte
3790 Fourons
3790 Fouron-Saint-Martin
3792 Fouron-Saint-Pierre
5504 Foy-Notre-Dame
4870 Fraipont
5650 Fraire
4557 Fraiture
7080 Frameries
6853 Framont
5600 Franchimont
4970 Francorchamps
5380 Franc-Waret
5150 Franière
5660 Frasnes (Nam.)
7910 Frasnes-lez-Anvaing
7911 Frasnes-lez-Buissenal
6210 Frasnes-lez-Gosselies
4347 Freloux
6800 Freux
6440 Froidchapelle
5576 Froidfontaine
7504 Froidmont
6990 Fronville
7503 Froyennes
4260 Fumal
5500 Furfooz
5641 Furnaux
1750 Gaasbeek
7943 Gages
7906 Gallaix
1570 Galmaarden
1083 Ganshoren
7530 Gaurain-Ramecroix (Tournai)
9890 Gavere
5575 Gedinne
2440 Geel
4250 Geer
1367 Geest-Gérompont-Petit-Rosière
3450 Geetbets
5024 Gelbressée
3800 Gelinden
3620 Gellik
3200 Gelrode
8980 Geluveld
8940 Geluwe
6929 Gembes
5030 Gembloux
4851 Gemmenich
1470 Genappe
3600 Genk
7040 Genly
3770 Genoelselderen
9000 Gent
9050 Gentbrugge
1450 Gentinnes
1332 Genval
9500 Geraardsbergen
3960 Gerdingen
5524 Gerin
1367 Gérompont
6769 Gérouville
6280 Gerpinnes
2590 Gestel
5340 Gesves
7822 Ghislenghien
7011 Ghlin
7863 Ghoy
7823 Gibecq
2275 Gierle
8691 Gijverinkhove
9308 Gijzegem
8570 Gijzelbrechtegem
9860 Gijzenzele
6060 Gilly (Charleroi)
5680 Gimnée
3890 Gingelom
8470 Gistel
8830 Gits
7041 Givry
1473 Glabais
3380 Glabbeek-Zuurbemde
4000 Glain
4400 Gleixhe
1315 Glimes
4690 Glons
5680 Gochenée
7160 Godarville
5530 Godinne
9620 Godveerdegem
4834 Goé
9500 Goeferdinge
7040 Goegnies-Chaussée
5353 Goesnes
3300 Goetsenhoven
4140 Gomzé-Andoumont
7830 Gondregnies
5660 Gonrieux
9090 Gontrode
1755 Gooik
3803 Gorsem
3840 Gors-Opleeuw
6041 Gosselies
3840 Gotem
9800 Gottem
7070 Gottignies
6280 Gougnies
5651 Gourdinne
6030 Goutroux
6670 Gouvy
6181 Gouy-lez-Piéton
6534 Gozée
4460 Grâce-Berleur
4460 Grâce-Hollogne
5555 Graide
9800 Grammene
4300 Grand-Axhe
7973 Grandglise
4280 Grand-Hallet
6698 Grand-Halleux
6940 Grandhan
5031 Grand-Leez
5030 Grand-Manil
6960 Grandmenil
7900 Grandmetz
4650 Grand-Rechain
6560 Grand-Reng
6470 Grandrieu
1367 Grand-Rosière-Hottomont
4360 Grandville
6840 Grandvoir
6840 Grapfontaine
7830 Graty
5640 Graux
3450 Grazen
9200 Grembergen
1390 Grez-Doiceau
1850 Grimbergen
9506 Grimminge
4030 Grivegnée
2280 Grobbendonk
1702 Groot-Bijgaarden
3800 Groot-Gelmen
3840 Groot-Loon
7950 Grosage
5555 Gros-Fays
3990 Grote-Brogel
9620 Grotenberge
3740 Grote-Spouwen
3670 Gruitrode
6952 Grune
6927 Grupont
7620 Guignies
3723 Guigoven
6704 Guirsch
8560 Gullegem
3870 Gutschoven
3150 Haacht
9450 Haaltert
9120 Haasdonk
3053 Haasrode
6720 Habay
6720 Habay-la-Neuve
6723 Habay-la-Vieille
6782 Habergy
4684 Haccourt
6720 Hachy
7911 Hacquegnies
1130 Haren (Bruxelles)
5351 Haillot
7100 Haine-Saint-Paul
7100 Haine-Saint-Pierre
7350 Hainin
3300 Hakendover
6792 Halanzy
3545 Halen
2220 Hallaar
1500 Halle
2980 Halle (Kempen)
3440 Halle-Booienhoven
6986 Halleux
6922 Halma
3800 Halmaal
5340 Haltinne
3945 Ham
6840 Hamipré
1785 Hamme (Bt.)
9220 Hamme (O.-Vl.)
1320 Hamme-Mille
4180 Hamoir
5360 Hamois
3930 Hamont
3930 Hamont-Achel
6990 Hampteau
6120 Ham-sur-Heure
6120 Ham-sur-Heure-Nalinnes
5190 Ham-sur-Sambre
8610 Handzame
4357 Haneffe
4210 Hannêche
4280 Hannut
5310 Hanret
9850 Hansbeke
5580 Han-sur-Lesse
6560 Hantes-Wihéries
5621 Hanzinelle
5621 Hanzinne
7321 Harchies
8530 Harelbeke
3840 Haren (Borgloon)
1130 Haren (Brussel)
3700 Haren (Tongeren)
6900 Hargimont
7022 Harmignies
6767 Harnoncourt
6960 Harre
6950 Harsin
7022 Harveng
4920 Harzé
3500 Hasselt
5540 Hastière
5540 Hastière-Lavaux
5541 Hastière-par-Delà
6870 Hatrival
7120 Haulchin
4730 Hauset
6929 Haut-Fays
1461 Haut-Ittre
5537 Haut-le-Wastia
7334 Hautrage
7041 Havay
5370 Havelange
5590 Haversin
7531 Havinnes
7021 Havré
3940 Hechtel
3940 Hechtel-Eksel
5543 Heer
3870 Heers
3740 Hees
8551 Heestert
2801 Heffen
1670 Heikruis
2830 Heindonk
6700 Heinsch
8301 Heist-aan-Zee
2220 Heist-op-den-Berg
1790 Hekelgem
3870 Heks
8587 Helchin
3530 Helchteren
9450 Heldergem
1357 Hélécine
3440 Helen-Bos
8587 Helkijn
7830 Hellebecq
9571 Hemelveerdegem
2620 Hemiksem
5380 Hemptinne (Fernelmont)
5620 Hemptinne-lez-Florennes
3840 Hendrieken
3700 Henis
7090 Hennuyères
4841 Henri-Chapelle
7090 Henripont
7350 Hensies
3971 Heppen
4771 Heppenbach
6220 Heppignies
6887 Herbeumont
7050 Herchies
3770 Herderen
9310 Herdersem
3020 Herent
2200 Herentals
2270 Herenthout
1540 Herfelingen
4728 Hergenrath
7742 Hérinnes-lez-Pecq
3540 Herk-de-Stad
4681 Hermalle-sous-Argenteau
4480 Hermalle-sous-Huy
4680 Hermée
5540 Hermeton-sur-Meuse
1540 Herne
4217 Héron
7911 Herquegies
7712 Herseaux
2230 Herselt
4040 Herstal
3717 Herstappe
7522 Hertain
3831 Herten
8020 Hertsberge
4650 Herve
9550 Herzele
8501 Heule
5377 Heure (Nam.)
4682 Heure-le-Romain
9700 Heurne
3550 Heusden (Limb.)
9070 Heusden (O.-Vl.)
3550 Heusden-Zolder
4802 Heusy
8950 Heuvelland
3191 Hever
3001 Heverlee
1435 Hévillers
6941 Heyd
9550 Hillegem
2880 Hingene
5380 Hingeon
6984 Hives
2660 Hoboken (Antwerpen)
4351 Hodeige
6987 Hodister
4162 Hody
3320 Hoegaarden
1560 Hoeilaart
8340 Hoeke
3746 Hoelbeek
3471 Hoeleden
3840 Hoepertingen
3730 Hoeselt
2940 Hoevenen
1981 Hofstade (Bt.)
9308 Hofstade (O.-Vl.)
5377 Hogne
4342 Hognoul
7620 Hollain
6637 Hollange
8902 Hollebeke
4460 Hollogne-aux-Pierres
4250 Hollogne-sur-Geer
3220 Holsbeek
2811 Hombeek
4852 Hombourg
6640 Hompré
6780 Hondelange
5570 Honnay
7387 Honnelles
8830 Hooglede
8690 Hoogstade
2320 Hoogstraten
9667 Horebeke
4460 Horion-Hozémont
7301 Hornu
3870 Horpmaal
7060 Horrues
6990 Hotton
6724 Houdemont
7110 Houdeng-Aimeries
7110 Houdeng-Goegnies (La Louvière)
5575 Houdremont
6660 Houffalize
5563 Hour
4671 Housse
7812 Houtaing
1476 Houtain-le-Val
4682 Houtain-Saint-Siméon
8377 Houtave
8630 Houtem (W.-Vl.)
3530 Houthalen
3530 Houthalen-Helchteren
7781 Houthem (Comines)
8650 Houthulst
2235 Houtvenne
3390 Houwaart
5530 Houx
5560 Houyet
2540 Hove
7830 Hoves (Ht.)
7624 Howardries
4520 Huccorgne
9750 Huise
7950 Huissignies
1654 Huizingen
3040 Huldenberg
2235 Hulshout
5560 Hulsonniaux
8531 Hulste
6900 Humain
1851 Humbeek
9630 Hundelgem
1367 Huppaye
4500 Huy
7022 Hyon
8480 Ichtegem
9472 Iddergem
9506 Idegem
8900 Ieper
9340 Impe
1315 Incourt
8770 Ingelmunster
8570 Ingooigem
1041 International Press Center
7801 Irchonwelz
7822 Isières
5032 Isnes
2222 Itegem
1701 Itterbeek
1460 Ittre
4400 Ivoz-Ramet
1050 Ixelles
8870 Izegem
6810 Izel
8691 Izenberge
6941 Izier
8490 Jabbeke
4845 Jalhay
5354 Jallet
5600 Jamagne
5100 Jambes (Namur)
5600 Jamiolle
6120 Jamioulx
6810 Jamoigne
1350 Jandrain-Jandrenouille
1350 Jauche
1370 Jauchelette
5570 Javingue
4540 Jehay
6880 Jehonville
7012 Jemappes
5580 Jemelle
4101 Jemeppe-sur-Meuse
5190 Jemeppe-sur-Sambre
4357 Jeneffe (Lg.)
5370 Jeneffe (Nam.)
3840 Jesseren (Kolmont)
1090 Jette
3890 Jeuk
1370 Jodoigne
1370 Jodoigne-Souveraine
7620 Jollain-Merlin
6280 Joncret
4650 Julémont
6040 Jumet (Charleroi)
4020 Jupille-sur-Meuse
4450 Juprelle
7050 Jurbise
6642 Juseret
8600 Kaaskerke
8870 Kachtem
3293 Kaggevinne
7540 Kain
9270 Kalken
9120 Kallo (Beveren-Waas)
9130 Kallo (Kieldrecht)
2920 Kalmthout
1008 Kamer van Volksvertegenwoordigers
1910 Kampenhout
8700 Kanegem
3770 Kanne
2950 Kapellen (Antw.)
3381 Kapellen (Bt.)
1880 Kapelle-op-den-Bos
9970 Kaprijke
8572 Kaster
2460 Kasterlee
3950 Kaulille
3140 Keerbergen
8600 Keiem
4720 Kelmis
4367 Kemexhe
8956 Kemmel
9190 Kemzeke
8581 Kerkhove
3370 Kerkom
3800 Kerkom-bij-Sint-Truiden
9451 Kerksken
3510 Kermt (Hasselt)
3840 Kerniel
3472 Kersbeek-Miskom
2560 Kessel
3010 Kessel-Lo (Leuven)
3640 Kessenich
1755 Kester
4701 Kettenis
5060 Keumiée
9130 Kieldrecht (Beveren)
3640 Kinrooi
3990 Kleine-Brogel
3740 Kleine-Spouwen
3870 Klein-Gelmen
8420 Klemskerke
8650 Klerken
9690 Kluisbergen
9940 Kluizen
9910 Knesselare
8300 Knokke
8300 Knokke-Heist
1730 Kobbegem
8680 Koekelare
1081 Koekelberg
3582 Koersel
8670 Koksijde
3840 Kolmont (Borgloon)
3700 Kolmont (Tongeren)
7780 Komen
7780 Komen-Waasten
2500 Koningshooikt
3700 Koninksem
2550 Kontich
8510 Kooigem
8000 Koolkerke
8851 Koolskamp
3060 Korbeek-Dijle
3360 Korbeek-Lo
8610 Kortemark
3470 Kortenaken
3070 Kortenberg
3720 Kortessem
3890 Kortijs
8500 Kortrijk
3220 Kortrijk-Dutsel
3850 Kozen
1950 Kraainem
8972 Krombeke
9150 Kruibeke
9770 Kruishoutem
3300 Kumtich
3511 Kuringen
3840 Kuttekoven
8520 Kuurne
3945 Kwaadmechelen
9690 Kwaremont
7080 La Bouverie
